bpm,chroma_stft,spectral_centroid,zcr,label
118.32483673095703,0.32628563,2887.4676184743103,0.07819718399284056,1
173.95947265625,0.29557878,3783.1700276341044,0.22527736037877322,1
165.08499145507812,0.33811572,2865.224838766077,0.12285658892463236,1
108.4905014038086,0.29025078,4355.120079430719,0.25957288240131576,1
159.99725341796875,0.31519723,1651.970799458655,0.09948371438419118,1
173.4947509765625,0.4202536,2857.7440878795423,0.14961625326528638,1
175.71157836914062,0.57222265,2602.3020880313716,0.05191899822223297,1
174.98220825195312,0.41491917,4625.732559581307,0.2822365775565983,1
111.19707489013672,0.2190823,1458.5118558990548,0.11765915247678019,1
156.75950622558594,0.30453217,3332.6152028933134,0.19696385055872678,1
150.1432342529297,0.40194997,2078.077549299313,0.06676773685419891,0
144.74090576171875,0.33651668,2178.7390273476844,0.11290823638254643,0
105.67179107666016,0.18037328,1305.518733665291,0.07315299680727554,0
105.64361572265625,0.24461408,936.583326701984,0.06246353007691564,0
125.97988891601562,0.4459325,2229.8967233791323,0.07623952387287151,0
142.04067993164062,0.5192406,2232.9539706136907,0.04216282138883514,0
120.17153930664062,0.24378802,885.6543400849914,0.04733814912683824,0
144.8973846435547,0.3218454,2267.0850734823052,0.09833973037200078,0
91.97891235351562,0.37299442,1797.6108885087058,0.06985275221313854,0
151.93495178222656,0.30556893,1490.7876569588027,0.07227885243324303,0
