title,bpm,chroma_stft,spectral_centroid,zcr,label
Ape Escape - Time Station.mp3,117.45383522727273,0.32628563,2887.4676184743103,0.07819718399284056,1
Commix - Be True.mp3,172.265625,0.29557878,3783.1700276341044,0.22527736037877322,1
Adam F - Circles.mp3,166.70866935483872,0.33811572,2865.224838766077,0.12285658892463236,1
Source Direct - Secret Liaison.mp3,107.666015625,0.29025078,4355.120079430719,0.25957288240131576,1
Seim - Currents.mp3,107.666015625,0.31519723,1651.970799458655,0.09948371438419118,1
Bruth - Night Is Falling.mp3,172.265625,0.4202536,2857.7440878795423,0.14961625326528638,1
Dusqk - RAE03.mp3,117.45383522727273,0.57222265,2602.3020880313716,0.05191899822223297,1
J-Laze - Memoryz.mp3,172.265625,0.41491917,4625.732559581307,0.2822365775565983,1
Hu3man - Submarine.mp3,151.99908088235293,0.2190823,1458.5118558990548,0.11765915247678019,1
The Invisible Man - The Bell Tune.mp3,103.359375,0.30453217,3332.6152028933134,0.19696385055872678,1
K-pop.mp3,75.99954044117646,0.40194997,2078.077549299313,0.06676773685419891,0
Pop.mp3,143.5546875,0.33651668,2178.7390273476844,0.11290823638254643,0
Jazz.mp3,107.666015625,0.18037328,1305.518733665291,0.07315299680727554,0
Ambient.mp3,107.666015625,0.24461408,936.583326701984,0.06246353007691564,0
House.mp3,83.35433467741936,0.4459325,2229.8967233791323,0.07623952387287151,0
Techno.mp3,143.5546875,0.5192406,2232.9539706136907,0.04216282138883514,0
Soundtrack.mp3,123.046875,0.24378802,885.6543400849914,0.04733814912683824,0
J-rock.mp3,143.5546875,0.3218454,2267.0850734823052,0.09833973037200078,0
Bossa.mp3,184.5703125,0.37299442,1797.6108885087058,0.06985275221313854,0
EasyListening.mp3,151.99908088235293,0.30556893,1490.7876569588027,0.07227885243324303,0
